"","27-PosterA","27-PosterB","27-PosterC","27-PosterD","27-PosterE","27-PosterF"
"J10",NA,NA,NA,NA,NA,NA
"J11",NA,NA,NA,NA,NA,NA
"J21",NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA
"J23",NA,NA,NA,NA,NA,NA
"J32",NA,NA,NA,NA,NA,NA
"J33",NA,NA,NA,NA,NA,NA
"J41",NA,NA,NA,NA,NA,NA
"J42",NA,NA,NA,NA,NA,NA
"J43",NA,NA,NA,NA,NA,NA
